frame,read,detect,crop,infer,e2e_ms,output
365,0.9611,8.0183,0.5636,2.2704,11.8134,0.018359
366,0.9588,7.7312,0.5638,2.2429,11.4968,0.050334
367,0.9388,7.8502,0.5707,2.2663,11.626,0.047146
368,0.9663,7.8836,0.5583,2.261,11.6691,0.042728
369,0.9946,7.6735,0.5561,2.2389,11.4631,0.036295
370,0.9937,7.7158,0.5702,2.2377,11.5174,0.062267
371,0.9272,7.7571,0.5877,2.2421,11.5141,0.061135
372,0.9637,7.8881,0.5952,2.2427,11.6896,0.064851
373,0.9669,7.7513,0.5561,2.2564,11.5308,0.059883
374,0.9632,7.8192,0.5654,2.244,11.5918,0.077569
375,0.9235,7.71,0.576,2.2769,11.4863,0.086469
376,0.9679,7.8139,0.5712,2.2626,11.6156,0.083194
377,0.9644,7.7071,0.5594,2.2595,11.4904,0.084771
378,0.965,7.7826,0.5521,2.2412,11.541,0.072038
379,0.9506,7.7704,0.5651,2.2365,11.5225,0.07162
380,0.9967,7.9068,0.5634,2.2446,11.7115,0.092941
381,0.9998,7.6946,0.5788,2.2355,11.5087,0.085256
382,0.963,7.8189,0.5893,2.2312,11.6024,0.066892
383,0.9142,7.7767,0.5721,2.2607,11.5238,0.090892
384,0.9538,7.904,0.5721,2.2745,11.7044,0.080634
385,0.9684,7.7411,0.5673,2.2494,11.5261,0.978938
386,0.9503,7.7851,0.5631,2.2571,11.5556,0.999997
387,0.9371,7.7762,0.5692,2.2868,11.5693,0.999983
388,0.9554,7.8235,0.5546,2.2441,11.5775,0.999976
389,0.9709,7.7207,0.5729,2.2447,11.5092,0.999681
390,1.009,7.7557,0.5673,2.2411,11.5731,0.999774
391,0.9701,8.1777,0.5743,2.2514,11.9735,0.998087
392,0.9982,7.8631,0.5749,2.2412,11.6773,0.991747
393,0.9949,7.7402,0.5806,2.2317,11.5474,0.922431
394,0.9718,7.8293,0.5842,2.2378,11.6231,0.976672
395,0.9293,7.7691,0.5751,2.2731,11.5465,0.981618
