frame,read,detect,crop,infer,e2e_ms,output
394,0.956,7.8439,4.4277,2.317,15.5446,0.976658
395,0.9132,7.7561,4.3961,2.2872,15.3526,0.981921
396,0.9521,7.8499,4.4224,2.2951,15.5195,0.839311
397,0.9886,7.7959,4.5107,2.3038,15.5989,0.911748
398,0.9823,7.7792,4.4263,2.3066,15.4945,0.875594
399,0.905,7.7995,4.4205,2.3304,15.4553,0.831949
400,0.9517,7.8275,4.4394,2.3136,15.5322,0.75871
401,0.9605,7.8738,4.4175,2.3384,15.5902,0.792673
402,0.9498,7.8247,4.4478,2.3386,15.5608,0.796066
403,0.922,7.8203,4.4348,2.3474,15.5246,0.844443
404,0.9524,7.8527,4.4113,2.3404,15.5568,0.86756
405,0.965,7.831,4.4373,2.3045,15.5378,0.854682
406,0.9537,7.7936,4.4395,2.3075,15.4942,0.817341
407,0.935,7.7645,4.4264,2.3041,15.43,0.857287
408,0.9547,7.9304,4.4226,2.3088,15.6165,0.829059
409,0.9504,7.8643,4.4731,2.3238,15.6115,0.823119
410,0.9339,7.8559,4.4013,2.3203,15.5114,0.869035
411,0.9162,7.8432,4.4437,2.3438,15.547,0.841694
412,0.9419,7.8769,4.4487,2.3376,15.6051,0.835823
413,0.9679,7.8566,4.4152,2.3366,15.5763,0.833984
414,0.9434,7.8548,4.5033,2.3519,15.6535,0.851603
415,0.9085,7.8419,4.4133,2.3098,15.4736,0.860559
416,0.9706,7.8237,4.4335,2.2979,15.5257,0.838863
417,0.9765,7.6603,4.3731,2.3093,15.3193,0.75038
418,0.9301,8.1366,4.5294,2.3048,15.9009,0.821645
419,0.9078,7.8565,4.4118,2.3236,15.4997,0.74606
420,0.9491,7.8586,4.44,2.3164,15.564,0.682055
421,0.9258,7.8018,4.4075,2.3328,15.4679,0.645216
422,0.9573,7.936,4.4563,2.3319,15.6816,0.695679
423,0.9107,7.8109,4.4312,2.3505,15.5033,0.583111
424,0.966,7.9202,4.447,2.3438,15.677,0.472544
425,0.9612,7.7959,4.3993,2.3039,15.4602,0.510805
426,0.9589,7.824,4.5217,2.3025,15.6072,0.512956
427,0.9469,7.8447,4.4121,2.3015,15.5052,0.518555
428,0.9974,7.8695,4.4471,2.3015,15.6156,0.573649
429,0.9511,7.8347,4.4122,2.3104,15.5084,0.570764
430,0.934,7.8997,4.4246,2.3172,15.5754,0.564178
431,0.9179,7.8357,4.4084,2.3232,15.4853,0.62725
432,0.9494,7.8803,4.4373,2.3289,15.5959,0.417297
433,0.9461,7.8274,4.3895,2.3459,15.509,0.412956
434,0.936,7.8123,4.4348,2.3283,15.5114,0.32311
435,0.9176,7.8203,4.4357,2.304,15.4776,0.120028
436,0.9699,7.8701,4.4548,2.3033,15.598,0.122375
437,0.9858,7.8652,4.4802,2.2626,15.5939,0.196991
438,0.9663,7.7777,4.4568,2.3027,15.5035,0.253169
439,0.905,7.8051,4.4251,2.3245,15.4597,0.327184
440,0.9622,7.9067,4.4468,2.323,15.6386,0.319718
441,0.954,7.8627,4.4186,2.3272,15.5625,0.257847
442,0.9299,7.7138,4.4003,2.3393,15.3832,0.315263
443,0.914,7.913,4.4279,2.3483,15.6032,0.379199
444,0.9474,8.0408,4.3865,2.3483,15.723,0.312665
445,0.958,7.7635,4.3978,2.2906,15.4098,0.293446
446,0.9581,7.8715,4.3959,2.3016,15.5271,0.273285
447,0.9532,7.8514,4.4395,2.3013,15.5454,0.233286
448,0.9827,7.7888,4.4352,2.3063,15.5128,0.232379
449,0.9477,7.9457,4.463,2.3026,15.6589,0.260184
450,0.9653,7.8649,4.3998,2.3389,15.5689,0.188876
451,0.9109,7.8884,4.4563,2.3255,15.5812,0.151588
452,0.9464,7.8146,4.4217,2.3276,15.5104,0.187324
453,0.9702,7.8191,4.4162,2.363,15.5684,0.221443
454,0.9243,7.7496,4.4125,2.3472,15.4337,0.208218
455,0.9124,7.8298,4.5128,2.2815,15.5366,0.253163
456,0.975,7.9074,4.4348,2.3054,15.6226,0.224223
457,0.9965,7.7977,4.4801,2.2945,15.5688,0.183474
458,0.9687,7.7621,4.5005,2.2878,15.5191,0.197235
459,0.899,7.822,4.4505,2.3104,15.4819,0.150771
460,0.9212,7.8792,4.415,2.3164,15.5317,0.207054
461,0.9307,7.892,4.432,2.3266,15.5813,0.331821
462,0.9648,7.8013,4.3472,2.3396,15.4529,0.276491
463,0.9023,7.946,4.4502,2.3365,15.635,0.205682
464,0.9277,7.8332,4.3833,2.3413,15.4855,0.277228
465,0.9639,7.8132,4.4766,2.3072,15.5608,0.275722
466,0.9606,7.8145,4.3728,2.294,15.4419,0.292926
467,0.9443,7.8331,4.4252,2.3106,15.5132,0.083518
468,0.9506,7.8454,4.4115,2.3124,15.5199,0.081547
469,0.9702,7.6974,4.3897,2.3458,15.403,0.052203
470,0.9223,7.7974,4.3973,2.3311,15.4481,0.052802
471,0.9113,8.0385,4.4383,2.3278,15.716,0.055319
472,0.9443,7.989,4.4425,2.3281,15.7038,0.049847
473,0.9565,7.8507,4.4388,2.343,15.5891,0.049775
474,0.9271,7.7866,4.5043,2.3431,15.5611,0.03546
475,0.9093,7.7602,4.4568,2.3058,15.4321,0.039903
476,0.9462,7.893,4.481,2.3083,15.6285,0.16617
477,0.9847,7.7232,4.5077,2.2974,15.5129,0.194671
478,0.9398,7.8632,4.4791,2.3023,15.5844,0.235494
